DATE,HOUR.MST,CLOUDCOVER
5/20/2017,3,-1
5/20/2017,4,-1
5/20/2017,5,-1
5/20/2017,6,6
5/20/2017,7,6.3167
5/20/2017,8,6.8667
5/20/2017,9,7.3833
5/20/2017,10,7.3833
5/20/2017,11,5.9
5/20/2017,12,6.4333
5/20/2017,13,8.7167
5/20/2017,14,7.4
5/20/2017,15,7.75
5/20/2017,16,10.5
5/20/2017,17,8.8
5/20/2017,18,8.9
5/20/2017,19,23.35
5/20/2017,20,-1
5/20/2017,21,-1
5/20/2017,22,-1
5/20/2017,23,-1
5/21/2017,0,-1
5/21/2017,1,-1
5/21/2017,2,-1
5/21/2017,3,-1
5/21/2017,4,-1
5/21/2017,5,-1
5/21/2017,6,6.1333
5/21/2017,7,7.3
5/21/2017,8,8.3833
5/21/2017,9,9.1333
5/21/2017,10,38.85
5/21/2017,11,39.0333
5/21/2017,12,38.2333
5/21/2017,13,38.3
5/21/2017,14,47.3167
5/21/2017,15,82.4667
5/21/2017,16,68.8
5/21/2017,17,65.5167
5/21/2017,18,54.3
5/21/2017,19,45.9833
5/21/2017,20,-1
5/21/2017,21,-1
5/21/2017,22,-1
5/21/2017,23,-1
5/22/2017,0,-1
5/22/2017,1,-1
5/22/2017,2,-1
5/22/2017,3,-1
5/22/2017,4,-1
5/22/2017,5,-1
5/22/2017,6,9.8
5/22/2017,7,6.9333
5/22/2017,8,8.2833
5/22/2017,9,9.85
5/22/2017,10,9.0167
5/22/2017,11,14.25
5/22/2017,12,76.5833
5/22/2017,13,72.6
5/22/2017,14,76.3667
5/22/2017,15,96.4667
5/22/2017,16,97.9167
5/22/2017,17,96.65
5/22/2017,18,92.9167
5/22/2017,19,58.2833
5/22/2017,20,-1
5/22/2017,21,-1
5/22/2017,22,-1
5/22/2017,23,-1
5/23/2017,0,-1
5/23/2017,1,-1
5/23/2017,2,-1
5/23/2017,3,-1
5/23/2017,4,-1
5/23/2017,5,-1
5/23/2017,6,7.3
5/23/2017,7,7.5
5/23/2017,8,9.7667
5/23/2017,9,53.15
5/23/2017,10,94.1333
5/23/2017,11,77.8667
5/23/2017,12,87.0333
5/23/2017,13,85.75
5/23/2017,14,73.6333
5/23/2017,15,44.15
5/23/2017,16,68.4333
5/23/2017,17,49.15
5/23/2017,18,33.5333
5/23/2017,19,20
5/23/2017,20,-1
5/23/2017,21,-1
5/23/2017,22,-1
5/23/2017,23,-1
5/24/2017,0,-1
5/24/2017,1,-1
5/24/2017,2,-1
5/24/2017,3,-1
5/24/2017,4,-1
5/24/2017,5,-1
5/24/2017,6,6.75
5/24/2017,7,8.2
5/24/2017,8,9.95
5/24/2017,9,12.5333
5/24/2017,10,10.6833
5/24/2017,11,7.5333
5/24/2017,12,8.45
5/24/2017,13,9.2333
5/24/2017,14,7.95
5/24/2017,15,9.9
5/24/2017,16,11.6333
5/24/2017,17,11.4
5/24/2017,18,10.6167
5/24/2017,19,7.4667
5/24/2017,20,-1
5/24/2017,21,-1
5/24/2017,22,-1
5/24/2017,23,-1
5/25/2017,0,-1
5/25/2017,1,-1
5/25/2017,2,-1
5/25/2017,3,-1
5/25/2017,4,-1
5/25/2017,5,-1
5/25/2017,6,8.15
5/25/2017,7,10.5833
5/25/2017,8,14.45
5/25/2017,9,15.85
5/25/2017,10,31.25
5/25/2017,11,39.5667
5/25/2017,12,86.8
5/25/2017,13,96.1167
5/25/2017,14,94.3333
5/25/2017,15,97.65
5/25/2017,16,98
5/25/2017,17,93.25
5/25/2017,18,90.6
5/25/2017,19,82.4667
5/25/2017,20,-1
5/25/2017,21,-1
5/25/2017,22,-1
5/25/2017,23,-1
5/26/2017,0,-1
5/26/2017,1,-1
5/26/2017,2,-1
5/26/2017,3,-1
5/26/2017,4,-1
5/26/2017,5,-1
5/26/2017,6,65.9
5/26/2017,7,74.1
5/26/2017,8,69.5
5/26/2017,9,62.9333
5/26/2017,10,50.5
5/26/2017,11,36.9167
5/26/2017,12,67.6167
5/26/2017,13,56.4
5/26/2017,14,41.3333
5/26/2017,15,30.4333
5/26/2017,16,21.2167
5/26/2017,17,35.0167
5/26/2017,18,10.2333
5/26/2017,19,7.4833
5/26/2017,20,-1
5/26/2017,21,-1
5/26/2017,22,-1
5/26/2017,23,-1
5/27/2017,0,-1
5/27/2017,1,-1
5/27/2017,2,-1
5/27/2017,3,-1
5/27/2017,4,-1
5/27/2017,5,-1
5/27/2017,6,59.1667
5/27/2017,7,26.2
5/27/2017,8,65.3333
5/27/2017,9,92.7667
5/27/2017,10,78.5667
5/27/2017,11,91.2333
5/27/2017,12,94.55
5/27/2017,13,93.4
5/27/2017,14,58.9167
5/27/2017,15,86.55
5/27/2017,16,94.3333
5/27/2017,17,95.1833
5/27/2017,18,92.5167
5/27/2017,19,37.5
5/27/2017,20,-1
5/27/2017,21,-1
5/27/2017,22,-1
5/27/2017,23,-1
5/28/2017,0,-1
5/28/2017,1,-1
5/28/2017,2,-1
5/28/2017,3,-1
5/28/2017,4,-1
5/28/2017,5,-0.8667
5/28/2017,6,7.9833
5/28/2017,7,9.3833
5/28/2017,8,11.1667
5/28/2017,9,12.6333
5/28/2017,10,8.7
5/28/2017,11,6.4
5/28/2017,12,6.8833
5/28/2017,13,7.45
5/28/2017,14,13.2667
5/28/2017,15,13.4333
5/28/2017,16,17.7833
5/28/2017,17,21.3167
5/28/2017,18,11.7167
5/28/2017,19,8.3333
5/28/2017,20,-1
5/28/2017,21,-1
5/28/2017,22,-1
5/28/2017,23,-1
5/29/2017,0,-1
5/29/2017,1,-1
5/29/2017,2,-1
5/29/2017,3,-1
5/29/2017,4,-1
5/29/2017,5,-0.7833
5/29/2017,6,9.6167
5/29/2017,7,13.8833
5/29/2017,8,11.4167
5/29/2017,9,11.7
5/29/2017,10,10.2333
5/29/2017,11,45.85
5/29/2017,12,77.5167
5/29/2017,13,91.25
5/29/2017,14,69.9667
5/29/2017,15,69.25
5/29/2017,16,80.2667
5/29/2017,17,60.2833
5/29/2017,18,27.6833
5/29/2017,19,64.0667
5/29/2017,20,-1
5/29/2017,21,-1
5/29/2017,22,-1
5/29/2017,23,-1
5/30/2017,0,-1
5/30/2017,1,-1
5/30/2017,2,-1
5/30/2017,3,-1
5/30/2017,4,-1
5/30/2017,5,-0.8667
5/30/2017,6,8.4333
5/30/2017,7,10.25
5/30/2017,8,12.3833
5/30/2017,9,13.65
5/30/2017,10,10.0833
5/30/2017,11,6.95
5/30/2017,12,8.2667
5/30/2017,13,7.75
5/30/2017,14,8.35
5/30/2017,15,9.35
5/30/2017,16,20.6333
5/30/2017,17,49.1667
5/30/2017,18,20.2
5/30/2017,19,29.5333
5/30/2017,20,-1
5/30/2017,21,-1
5/30/2017,22,-1
5/30/2017,23,-1
5/31/2017,0,-1
5/31/2017,1,-1
5/31/2017,2,-1
5/31/2017,3,-1
5/31/2017,4,-1
5/31/2017,5,-0.7333
5/31/2017,6,7.6
5/31/2017,7,9.5667
5/31/2017,8,11.4167
5/31/2017,9,12.35
5/31/2017,10,60.6333
5/31/2017,11,64.8833
5/31/2017,12,72.4333
5/31/2017,13,64.7833
5/31/2017,14,48
5/31/2017,15,41.8833
5/31/2017,16,81.9333
5/31/2017,17,42.0833
5/31/2017,18,45.8
5/31/2017,19,14.45
5/31/2017,20,-0.8
5/31/2017,21,-1
5/31/2017,22,-1
5/31/2017,23,-1
6/1/2017,0,-1
6/1/2017,1,-1
6/1/2017,2,-1
6/1/2017,3,-1
6/1/2017,4,-1
6/1/2017,5,-0.7333
6/1/2017,6,8.0667
6/1/2017,7,11.2833
6/1/2017,8,19.7833
6/1/2017,9,22.9167
6/1/2017,10,35.4833
6/1/2017,11,44.2
6/1/2017,12,86.4667
6/1/2017,13,98.55
6/1/2017,14,93.6167
6/1/2017,15,95.8667
6/1/2017,16,95.85
6/1/2017,17,77.4
6/1/2017,18,41.9333
6/1/2017,19,61.8167
6/1/2017,20,-0.6333
6/1/2017,21,-1
6/1/2017,22,-1
6/1/2017,23,-1
6/2/2017,0,-1
6/2/2017,1,-1
6/2/2017,2,-1
6/2/2017,3,-1
6/2/2017,4,-1
6/2/2017,5,-0.65
6/2/2017,6,17.8833
6/2/2017,7,22.6
6/2/2017,8,36.3667
6/2/2017,9,31.3333
6/2/2017,10,57.2333
6/2/2017,11,51.2833
6/2/2017,12,93.2833
6/2/2017,13,87.7667
6/2/2017,14,47.4167
6/2/2017,15,83.15
6/2/2017,16,95.8167
6/2/2017,17,75.5667
6/2/2017,18,78.4667
6/2/2017,19,44.3
6/2/2017,20,-0.1
6/2/2017,21,-1
6/2/2017,22,-1
6/2/2017,23,-1
6/3/2017,0,-1
6/3/2017,1,-1
6/3/2017,2,-1
6/3/2017,3,-1
6/3/2017,4,-1
6/3/2017,5,-0.6
6/3/2017,6,8.0167
6/3/2017,7,10.5333
6/3/2017,8,13.3
6/3/2017,9,14.8833
6/3/2017,10,11.4
6/3/2017,11,25.4333
6/3/2017,12,52.5333
6/3/2017,13,43.8667
6/3/2017,14,70.9167
6/3/2017,15,32.0167
6/3/2017,16,49.2333
6/3/2017,17,48.7167
6/3/2017,18,65.3833
6/3/2017,19,56.45
6/3/2017,20,0.0167
6/3/2017,21,-1
6/3/2017,22,-1
6/3/2017,23,-1
6/4/2017,0,-1
6/4/2017,1,-1
6/4/2017,2,-1
6/4/2017,3,-1
6/4/2017,4,-1
6/4/2017,5,-0.6
6/4/2017,6,7.8167
6/4/2017,7,10.1833
6/4/2017,8,11.8333
6/4/2017,9,12.65
6/4/2017,10,9.25
6/4/2017,11,6.7833
6/4/2017,12,8.2167
6/4/2017,13,8.6
6/4/2017,14,9.3833
6/4/2017,15,10.7
6/4/2017,16,10.1667
6/4/2017,17,11.05
6/4/2017,18,10.0333
